"";"sector_code";"municipality_name";"municipality_code";"sector_situation";"MR_name";"sector_type";"V005_bas";"V002_h01";"V012_h01";"V013_h01";"V014_h01";"V015_h01";"V016_h01";"V017_h01";"V018_h01";"V019_h01";"V020_h01";"V021_h01";"V022_h01";"V002_h02"
"1";"150080005000001";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";2978,41;383;219;161;0;3;383;216;160;0;7;0;0;1543
"2";"150080005000002";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";656,61;287;6;272;0;9;287;24;94;165;4;0;0;1072
"3";"150080005000003";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";544,15;195;4;186;0;5;195;4;4;180;7;0;0;809
"4";"150080005000004";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";1028,13;239;20;215;0;4;239;10;228;1;0;0;0;845
"5";"150080005000005";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";1084,54;237;156;65;0;16;233;0;214;4;5;0;10;873
"6";"150080005000006";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";1473,31;185;174;11;0;0;184;131;9;44;0;0;0;675
"7";"150080005000007";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";1087,89;303;302;1;0;0;303;220;83;0;0;0;0;1101
"8";"150080005000008";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";471,91;296;80;205;0;11;284;17;207;30;30;0;0;1078
"9";"150080005000009";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";776,11;252;96;133;0;23;243;30;13;199;0;0;1;983
"10";"150080005000010";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";482,55;332;129;149;0;54;313;43;263;3;2;2;0;1205
"11";"150080005000011";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";422,21;278;4;207;0;67;271;27;7;187;24;14;12;1127
"12";"150080005000012";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";513,61;322;11;257;0;54;302;1;0;250;5;0;46;1367
"13";"150080005000013";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";859,21;254;27;225;0;2;254;3;47;183;21;0;0;980
"14";"150080005000014";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";599;305;132;159;0;14;300;42;1;255;0;0;2;1198
"15";"150080005000015";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";790,24;229;36;187;0;6;227;0;10;216;0;0;1;889
"16";"150080005000016";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";364,85;443;15;346;0;82;402;2;0;343;2;0;55;1625
"17";"150080005000017";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";582,78;311;136;175;0;0;311;25;3;280;0;1;2;1136
"18";"150080005000018";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";547,69;447;10;378;0;59;443;85;192;162;0;2;2;1628
"19";"150080005000019";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";625,76;322;72;224;0;26;310;74;156;75;0;0;5;1256
"20";"150080005000020";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";513,46;257;25;211;0;21;249;0;7;224;5;0;13;1115
"21";"150080005000021";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";650;151;4;134;0;13;146;2;133;6;1;0;4;556
"22";"150080005000022";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";554,64;154;7;128;0;19;151;14;22;105;0;0;10;652
"23";"150080005000023";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";400,81;191;0;185;0;6;191;0;191;0;0;0;0;677
"24";"150080005000024";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";544,43;123;3;92;0;28;123;0;119;3;0;1;0;404
"25";"150080005000025";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";665,04;181;1;166;0;14;179;0;178;1;0;0;0;641
"26";"150080005000026";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";514,07;149;0;139;0;10;149;0;148;0;1;0;0;526
"27";"150080005000027";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";495,22;143;5;136;0;2;143;0;134;8;0;0;1;498
"28";"150080005000028";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";819,36;264;258;6;0;0;264;23;240;1;0;0;0;981
